id,x,y,z,heading,slope,crossfall,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right
16,1350866.290500,7223737.693090,38.846200,6190816.714639,0.052625,-0.135388,3,9.86376687789,3.310299999999998,17.8597666236,5.015999999999998,14.7986390633,1.6392999999999986,27.4269051171,5.375299999999996,4,6.10095448527,1.7649999999999935,11.1676277308,6.358999999999995,12.532534681,1.7112999999999943,26.371253078,5.620299999999993,5,3.65588140444,5.677999999999997,4.87455319731,5.964999999999996,None,None,None,None,6,22.0650191357,2.0814999999999984,25.1111447052,2.380499999999998,None,None,None,None
17,1350867.241230,7223738.493430,38.911600,6205321.379724,-0.045337,-0.154458,3,8.98081676413,3.2449000000000012,16.84566351,4.950600000000001,15.7140305453,1.5739000000000019,28.436363183,5.309899999999999,4,5.24446145937,2.2226,10.2841341119,6.293599999999998,12.6315055524,1.5929000000000002,18.2789563636,5.6358999999999995,5,3.52013809443,5.683599999999998,4.1058830796,5.9206,None,None,None,None,6,20.6863060356,2.9560999999999993,21.2086269633,4.0291,None,None,None,None
18,1350868.342075,7223739.243750,38.851200,6272314.578560,0.000184,-0.201353,3,8.73478308329,1.935299999999998,15.7149012677,5.011000000000003,16.8203243748,1.6343000000000032,29.6071859904,5.3703,4,3.90426688537,4.416000000000004,16.3479804004,6.372300000000003,12.9094359596,1.6912999999999982,18.3987480545,6.134300000000003,5,3.31613470653,5.481000000000002,15.4419114565,7.263300000000001,None,None,None,None,6,19.191650668,3.012500000000003,19.5753077214,5.0655,None,None,None,None
19,1350869.442915,7223740.044090,38.851450,6251789.590516,0.015480,-0.188475,3,8.96283391371,1.6430500000000023,14.6197547643,5.010750000000002,12.8366715453,1.620049999999999,30.797749673,5.370049999999999,4,7.24983686981,1.6862500000000011,16.2619739971,6.5310500000000005,12.7238398266,1.6240499999999969,18.173113867,6.191049999999997,5,2.90911429122,5.70975,14.2615132774,7.26305,None,None,None,None,6,17.7504744443,6.430149999999998,17.7504744443,6.430149999999998,None,None,None,None
20,1350870.843990,7223741.044515,38.878100,6270106.634394,-0.004637,-0.140952,3,11.959866244,1.7926000000000002,13.295080888,4.984100000000005,12.9357737693,1.6624000000000052,21.9712316171,5.132400000000004,4,9.99258639782,3.372400000000006,14.180148984,6.551400000000001,12.9968136561,1.602400000000003,19.4653341037,6.1644000000000005,5,11.9129111628,5.874100000000006,15.8265997805,7.9214000000000055,None,None,None,None,6,16.0824343914,2.050600000000003,16.2568077592,6.403500000000001,None,None,None,None
21,1350871.994875,7223741.844855,38.871600,6342940.081563,-0.039936,-0.138321,3,11.4574030512,3.856099999999998,11.4574030512,3.856099999999998,13.7786549348,1.7195999999999998,23.0380909371,5.1389,4,9.10158034302,1.6011000000000024,12.9738183303,6.5578999999999965,13.6666300924,1.857599999999998,20.5745229862,6.170899999999996,5,3.65279500001,6.253599999999999,14.6026798277,7.927900000000001,None,None,None,None,6,14.8778754264,2.0570999999999984,15.0668502542,6.409999999999997,None,None,None,None
22,1350873.295865,7223742.645195,38.810600,6271322.941504,0.030279,-0.073160,3,13.2906985888,1.933099999999996,14.2626182678,3.1358999999999995,13.0985768562,1.707099999999997,24.2892065217,5.1998999999999995,4,7.91946835225,2.0020999999999987,11.6606517545,6.6188999999999965,13.0844339042,1.705599999999997,20.3640596211,6.510599999999997,5,2.86793205807,6.3455999999999975,13.2635610168,7.988900000000001,None,None,None,None,6,13.5607640478,2.1180999999999983,13.7663622909,6.4709999999999965,None,None,None,None
23,1350874.546825,7223743.645620,38.859100,6237958.301028,0.004324,-0.164799,3,12.3138347388,1.9906000000000006,12.4130724028,2.0516000000000005,13.7567099776,1.6790999999999983,25.5195550001,5.151400000000002,4,7.05093489521,1.6743999999999986,10.476982765,6.570399999999999,12.5670577757,1.6341000000000037,19.6277163588,6.498400000000004,5,9.48350770096,6.4514,12.029606179,7.940400000000004,None,None,None,None,6,12.358528401,2.069600000000001,12.5877467887,6.422499999999999,None,None,None,None
24,1350876.098015,7223744.696070,38.867200,6300064.608035,-0.042726,-0.123881,3,None,None,None,None,13.6729442002,1.7342999999999975,19.1630510131,5.3274999999999935,4,6.49840711674,1.9702999999999946,10.3115100523,5.821299999999994,12.695259106,1.648299999999999,21.0923187527,6.490299999999998,5,9.00714770587,5.276499999999999,10.7433955295,6.816299999999998,None,None,None,None,6,11.8481531115,4.290499999999994,11.8481531115,4.290499999999994,None,None,None,None
25,1350877.399010,7223745.596455,38.799600,6198696.840416,0.058540,-0.174787,3,None,None,None,None,13.3886985305,1.7608999999999995,20.3261754489,5.8980999999999995,4,6.57047135588,1.7841000000000022,8.60918048933,5.182099999999998,13.7372750027,1.805100000000003,22.3676434003,6.557900000000004,5,9.32831920317,5.121900000000004,10.1479841975,5.518900000000002,None,None,None,None,6,12.059283106,1.6691000000000003,30.1464099425,2.434100000000001,None,None,None,None
