id,lon(rad),lat(rad),elevation(m),cap(rad),slope,crossfall,hasBridge,hasSwitch,hasTermination,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right
29,-0.0295287152186564,0.8398219221635760,38.741650,0.8846553787417346,-0.007038,0.108977,false,false,false,3,NaN,NaN,NaN,NaN,13.74,2.05,27.71,3.74,4,NaN,NaN,NaN,NaN,10.52,2.05,17.82,6.45,5,NaN,NaN,NaN,NaN,16.38,5.48,17.23,6.81,6,11.81,1.73,21.31,2.50,NaN,NaN,NaN,NaN
30,-0.0295281817136483,0.8398222586016774,38.719650,0.8975205585713469,-0.025225,0.129401,false,false,false,3,NaN,NaN,NaN,NaN,12.38,1.75,18.50,4.73,4,NaN,NaN,NaN,NaN,11.82,2.64,20.40,6.47,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,11.68,1.74,38.94,5.12,NaN,NaN,NaN,NaN
31,-0.0295276680622218,0.8398225548959133,38.646700,0.8898361542781077,-0.003422,0.187979,false,false,false,3,NaN,NaN,NaN,NaN,14.02,2.12,20.09,5.26,4,NaN,NaN,NaN,NaN,14.01,2.39,22.37,6.46,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,11.40,1.83,36.46,5.19,NaN,NaN,NaN,NaN
32,-0.0295271242746436,0.8398229074871708,38.635650,0.8605704334511315,0.010314,0.204396,false,false,false,3,NaN,NaN,NaN,NaN,16.51,1.89,22.46,5.27,4,NaN,NaN,NaN,NaN,15.32,4.21,24.51,6.37,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,11.35,1.84,33.89,5.20,NaN,NaN,NaN,NaN
33,-0.0295266361785744,0.8398232263389963,38.665650,0.8816544781462723,-0.011043,0.124875,false,false,false,3,NaN,NaN,NaN,NaN,15.71,1.86,24.76,5.24,4,NaN,NaN,NaN,NaN,15.41,5.40,20.43,7.42,5,NaN,NaN,NaN,NaN,15.30,6.68,19.05,8.27,6,11.25,1.80,31.68,5.17,NaN,NaN,NaN,NaN
34,-0.0295261122430169,0.8398235387855300,38.632600,0.8824040365970923,0.005281,0.119667,false,false,false,3,NaN,NaN,NaN,NaN,17.91,1.89,27.09,4.75,4,NaN,NaN,NaN,NaN,15.57,5.21,23.20,7.67,5,NaN,NaN,NaN,NaN,14.76,7.35,19.50,9.54,6,10.90,1.83,39.09,15.09,NaN,NaN,NaN,NaN
35,-0.0295255684554061,0.8398238913763145,38.649650,0.8677336177162531,-0.015664,0.124626,false,false,false,3,NaN,NaN,NaN,NaN,20.44,1.87,35.38,4.28,4,NaN,NaN,NaN,NaN,13.89,3.26,25.08,7.80,5,NaN,NaN,NaN,NaN,11.98,6.68,21.54,10.76,6,11.05,1.82,36.42,15.07,NaN,NaN,NaN,NaN
36,-0.0295250906412793,0.8398241940742842,38.605700,0.8667833234942814,-0.005152,0.197596,false,false,false,3,NaN,NaN,NaN,NaN,18.77,1.93,37.62,4.32,4,NaN,NaN,NaN,NaN,13.84,4.18,23.11,7.86,5,NaN,NaN,NaN,NaN,13.82,6.86,18.34,11.37,6,10.79,1.86,34.15,15.12,NaN,NaN,NaN,NaN
37,-0.0295245358554340,0.8398245549800416,38.588700,0.8544233055689955,-0.009770,0.213067,false,false,false,3,NaN,NaN,NaN,NaN,21.22,1.95,40.32,4.34,4,NaN,NaN,NaN,NaN,15.73,4.40,22.86,7.91,5,NaN,NaN,NaN,NaN,14.13,6.14,20.71,11.39,6,10.79,1.88,36.07,15.92,NaN,NaN,NaN,NaN
38,-0.0295240594681581,0.8398248733534663,38.560650,0.8521352491573130,0.007065,0.219962,false,false,false,3,NaN,NaN,NaN,NaN,23.51,1.98,24.02,2.01,4,NaN,NaN,NaN,NaN,13.97,2.39,25.42,8.17,5,NaN,NaN,NaN,NaN,15.10,7.25,22.94,11.41,6,10.73,1.91,33.80,15.94,NaN,NaN,NaN,NaN
39,-0.0295235603736533,0.8398252005197384,38.581700,0.8588817921555669,-0.010911,0.173823,false,false,false,3,NaN,NaN,NaN,NaN,15.61,1.92,15.61,1.92,4,NaN,NaN,NaN,NaN,14.14,5.30,23.16,8.16,5,27.84,8.65,27.84,8.65,14.41,6.86,21.54,12.44,6,10.69,1.88,31.52,15.92,NaN,NaN,NaN,NaN
40,-0.0295230055877453,0.8398255614250214,38.545700,0.8544227734283389,0.001376,0.213065,false,false,false,3,NaN,NaN,NaN,NaN,18.19,1.96,18.19,1.96,4,28.16,2.34,28.29,2.68,12.59,5.85,26.21,8.90,5,25.22,8.69,25.22,8.69,10.60,6.08,23.93,14.92,6,10.79,1.92,29.14,15.96,NaN,NaN,NaN,NaN
41,-0.0295225291993967,0.8398258797980794,38.549650,0.8457357779230785,-0.007287,0.208077,false,false,false,3,NaN,NaN,NaN,NaN,15.96,1.92,15.96,1.92,4,21.45,5.33,21.54,5.33,11.85,4.93,28.27,8.90,5,23.11,8.69,23.11,8.69,11.07,6.37,25.73,14.98,6,10.42,3.00,30.88,15.56,NaN,NaN,NaN,NaN
42,-0.0295220308169164,0.8398262148014517,38.527700,0.8320459831142902,0.006965,0.185152,false,false,false,3,14.48,3.94,15.24,4.61,18.29,1.94,18.29,1.94,4,14.11,4.31,15.42,5.66,13.12,4.70,25.73,8.95,5,15.44,5.66,23.80,10.60,11.90,7.78,27.99,15.31,6,10.38,3.07,28.75,15.58,NaN,NaN,NaN,NaN
43,-0.0295215338627440,0.8398265654803564,38.549150,0.8381505501119564,-0.015591,0.128590,false,false,false,3,12.16,3.65,13.00,4.59,13.49,1.93,13.67,2.01,4,11.18,3.64,14.07,7.68,12.80,1.99,27.87,8.93,5,12.53,5.44,21.46,10.57,13.19,8.27,30.17,15.29,6,10.45,3.04,23.47,15.28,NaN,NaN,NaN,NaN
44,-0.0295210347663848,0.8398268926459944,38.502700,0.8381516541796494,-0.011040,0.202051,false,false,false,3,10.61,2.11,12.41,3.04,13.45,2.01,16.48,2.74,4,8.96,3.62,11.70,7.73,15.03,2.10,30.16,8.98,5,10.21,5.55,19.32,10.62,15.11,8.34,32.48,15.33,6,20.47,8.73,20.81,13.81,NaN,NaN,NaN,NaN
45,-0.0295205378091109,0.8398272433247453,38.468700,0.8255466237446641,0.009771,0.193161,false,false,false,3,10.05,3.02,11.27,3.15,13.17,2.07,29.33,5.90,4,7.50,3.76,11.76,7.03,16.00,3.46,32.59,9.01,5,9.49,6.09,14.50,8.98,13.48,7.87,34.92,15.37,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,-0.0295200291443209,0.8398275944809701,38.499150,0.8204377226846719,0.001699,0.140007,false,false,false,3,15.43,2.59,15.83,2.79,13.66,1.97,31.48,5.87,4,6.79,3.99,10.25,6.55,15.20,5.05,28.99,9.83,5,9.36,6.11,12.19,8.95,15.80,7.82,28.09,15.13,6,25.50,3.24,25.80,3.32,NaN,NaN,NaN,NaN
47,-0.0295195548920279,0.8398279363658175,38.504200,0.8151454613351564,-0.016966,0.139217,false,false,false,3,13.22,2.59,14.59,3.01,14.46,1.97,30.29,7.31,4,8.14,4.84,14.75,6.99,13.95,5.01,31.02,9.83,5,8.44,5.56,9.88,8.32,15.04,7.69,29.65,15.09,6,22.19,3.01,23.45,3.31,NaN,NaN,NaN,NaN
48,-0.0295190689311377,0.8398282787289760,38.453150,0.8250951631110135,-0.031003,0.107786,false,false,false,3,12.21,2.50,12.31,3.06,16.11,2.03,32.34,7.36,4,8.07,4.85,12.54,7.04,13.53,4.51,33.25,9.88,5,10.25,5.70,14.09,7.97,14.45,7.02,33.28,14.75,6,18.83,2.91,21.22,3.36,NaN,NaN,NaN,NaN
49,-0.0295185382724419,0.8398286465151671,38.352150,0.8250957493009975,0.021785,0.112394,false,false,false,3,11.24,2.71,11.96,3.18,13.45,2.12,34.74,7.46,4,8.14,5.06,11.71,7.14,13.65,5.40,35.81,9.98,5,8.05,5.70,14.22,8.57,14.86,6.97,20.17,11.31,6,15.44,5.71,15.47,6.01,NaN,NaN,NaN,NaN
50,-0.0295180523107109,0.8398289888772935,38.417700,0.8208478265253618,-0.009472,0.153848,false,false,false,3,9.63,3.16,9.64,3.23,15.51,2.05,37.05,7.40,4,7.82,3.23,10.60,7.22,13.53,4.62,24.79,9.17,5,9.89,6.00,12.10,8.50,14.40,7.01,20.80,11.38,6,13.22,5.95,13.22,5.95,NaN,NaN,NaN,NaN
51,-0.0295175663475121,0.8398293312401318,38.389200,0.8093731998147327,0.002537,0.194727,false,false,false,3,14.01,2.93,14.01,2.93,17.84,2.08,39.46,7.43,4,7.25,4.35,9.17,6.50,14.11,4.38,27.94,9.04,5,9.16,6.58,10.05,7.57,14.55,8.04,21.40,11.55,6,12.20,4.79,12.20,4.79,NaN,NaN,NaN,NaN
